playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2533034,Lamar Miller,HOU,RB,26,5,7,159,180.3313028,8.03753768571101,4.901572658,7,21.33130275,31.5,15.2,3.6,5.19616012282435,NA,16,173.2546381,60.99256859,79.73333333,43.90913225,18,11,10.82841488,3.812035537,4.983333333,2.744320766,21.8725,29.06,-3.8725,36,4.812628835
2557973,Leonard Fournette,JAC,RB,21,0,8,136.8,188.3481302,19.4070455959573,7.62226313,7,51.54813018,24.1,12.4,3.1,4.30490074365457,NA,16,170.5892548,58.32718531,57.53333333,51.92595968,19,12,10.66182842,3.645449082,3.595833333,3.24537248,17.5825,32.265,1.4175,40,4.264731369
2556370,Michael Thomas,NO,WR,23,1,5,161.1182894,179.9433744,11.0981936772871,9.443799025,3,18.82508503,14.4,7,1.3,3.409447794622,NA,16,173.5413008,57.02657733,61.57053559,48.85919739,20,6,10.8463313,3.564161083,3.848158474,3.053699837,16.76,40.745,3.24,48,3.615443766
497240,Rob Gronkowski,NE,TE,28,7,9,138.92,164.9514819,9.9613358654517,26.27229261,1,26.03148187,24.5,1.1,0.4,5.79768290218265,NA,16,156.599921,54.75823705,57.86082368,48.97074526,21,1,9.787495063,3.422389816,3.61630148,3.060671579,15.3925,34.755,5.6075,38,4.121050553
2495450,A.J. Green,CIN,WR,29,6,6,153.1519891,181.6996277,16.383061249092,13.29521522,3,28.54763866,9.3,4.9,1.3,3.28499692631907,NA,16,170.7139284,54.19920493,53.6042353,50.61545073,22,7,10.66962052,3.387450308,3.350264706,3.163465671,7.8175,51.05,14.1825,59,2.893456413
2495663,Marshawn Lynch,OAK,RB,31,10,10,143.3,182.5017415,15.8659764729909,9.00570245,8,39.20174146,34.4,16.2,4.3,5.32095478363888,NA,16,166.116876,53.85480655,64.03333333,46.07957096,23,13,10.38230475,3.36592541,4.002083333,2.879973185,18.6075,29.15,4.3925,37,4.489645298
2550189,Isaiah Crowell,CLE,RB,24,3,9,140.8428571,171.0220437,14.5603309794958,5.670430975,8,30.17918658,27.4,13.4,2.7,3.38836097854597,NA,16,159.8171073,47.55503781,61.57619048,34.59987322,24,14,9.988569204,2.972189863,3.848511905,2.162492076,24.3,23.67,-0.300000000000001,30,5.327236909
2495466,Mark Ingram,NO,RB,28,6,5,109.1863445,174.0905471,22.5810047873064,3.104686795,9,64.90420257,48.8,21.2,3.4,4.43536308869403,NA,16,154.4052399,42.1431704,29.91967787,37.66837661,25,15,9.650327491,2.63394815,1.869979867,2.354273538,60.1967,9.235,-35.1967,13,11.87732614
2543743,Carlos Hyde,SF,RB,26,3,11,143.4,161.8633884,8.6819843154083,5.686096662,9,18.46338838,31.6,15.3,3,5.69476076664283,NA,16,153.8881127,41.62604326,64.13333333,25.44121788,26,16,9.618007045,2.601627704,4.008333333,1.590076118,30.3675,19.305,-4.3675,25,6.155524509
497278,Dez Bryant,DAL,WR,29,7,6,141.0175068,172.6780304,17.2780772431471,0.578627726,4,31.66052357,18.9,9.1,2.2,4.04599907649109,NA,16,157.4810751,40.96635169,41.46975306,41.5938534,27,8,9.842567196,2.56039698,2.591859566,2.599615838,20.0733,39.4,6.9267,47,3.350661173
2530747,Doug Baldwin,SEA,WR,29,6,6,148.6,166.0557653,7.96183093024148,2.095649751,4,17.45576535,21.9,10.2,2.4,3.48434818121325,NA,16,157.3563512,40.84162773,49.05224623,34.97158835,28,9,9.834771949,2.552601733,3.06576539,2.185724272,24.4833,31.295,3.5167,38,4.14095661
2532865,T.Y. Hilton,IND,WR,28,5,11,142.6183594,164.3001404,9.76651606338858,5.219786304,4,21.68178104,26.5,12.4,3.2,3.32632299579764,NA,16,156.4485436,39.93382019,43.07060561,33.21596342,29,10,9.778033978,2.495863762,2.69191285,2.075997714,17.9075,36.63,11.0925,44,3.555648719
2495488,J.J. Watt,HOU,DL,28,6,7,104.45,121.2753826,9.85499749837442,10.62563291,1,16.82538259,NA,1.4,1.5,3.28512085048744,NA,16,114.5756329,39.86202532,34,42.07884785,30,1,7.160977057,2.491376582,2.125,2.62992799,60,11.5,-30,1,114.5756329
2543498,Brandin Cooks,NE,WR,24,3,9,136.0041856,162.5966123,13.1692390548893,8.383170342,4,26.59242672,22.4,10.3,3.8,3.56450225721008,NA,16,154.0728592,37.55813577,36.45643186,31.51243535,31,11,9.629553701,2.347383486,2.278526991,1.969527209,17.1,34.555,13.9,38,4.054548927
2504775,Drew Brees,NO,QB,38,16,5,227.42,294.355253,23.5601402963308,3.476762806,3,66.93525303,44.5,3.1,0.7,2.07156987720187,NA,16,281.5579976,37.34985368,33.59333333,34.5813178,32,3,17.59737485,2.334365855,2.099583333,2.161332362,39.14,21.045,-7.14,25,11.2623199
2552454,Landon Collins,NYG,DB,23,2,8,129.4,143.0355248,7.85150095712179,23.6151659,1,13.63552482,NA,1.2,0.6,3.3244499876059,NA,16,137.8175101,36.84654867,35.65,37.61304954,33,1,8.613594381,2.302909292,2.228125,2.350815596,96.8,4.8,-63.8,1,137.8175101
2552429,Ty Montgomery,GB,RB,24,2,8,124.1212185,159.3374113,11.884325778629,1.359925876,9,35.21619285,43.5,18.8,4.7,3.52681021520285,NA,16,148.7129934,36.45092395,44.85455182,22.91524084,34,17,9.294562088,2.278182747,2.803409489,1.432202553,37.83,13.265,-3.83,17,8.747823142
310,Matt Ryan,ATL,QB,32,9,5,239.76,303.7596484,23.8430983291464,13.55959839,3,63.99964838,61.5,5.3,2,2.62090572737913,NA,16,280.2069029,35.99875897,45.93333333,43.98571315,35,4,17.51293143,2.249922436,2.870833333,2.749107072,47.17,14.585,-12.17,18,15.56705016
2557991,Dalvin Cook,MIN,RB,22,0,9,41,168.6878168,45.7483820314473,1.375609156,9,127.6878168,33.1,15.5,5.3,3.99301202255133,NA,16,147.6910387,35.42896924,-38.26666667,32.26564631,36,18,9.230689919,2.214310578,-2.391666667,2.016602895,32.76,17.545,3.24,21,7.032906605
2540269,C.J. Anderson,DEN,RB,26,4,5,129.9926471,169.3300072,19.4719064407832,3.168128645,9,39.33736016,53.8,22.4,3.8,5.1517576644648,NA,16,147.0150964,34.75302692,50.72598039,32.90783672,37,19,9.188443524,2.172064182,3.170373775,2.056739795,56.0433,11.85,-19.0433,15,9.801006425
2557917,Kareem Hunt,KC,RB,22,0,10,40,168.3325187,45.9218365940225,4.693405698,9,128.3325187,29,13.9,3.5,3.24359548387089,NA,16,145.6157627,33.35369326,-39.26666667,31.91034817,38,20,9.10098517,2.084605828,-2.454166667,1.994396761,51.8125,10.505,-13.8125,14,10.40112591
2552487,Amari Cooper,OAK,WR,23,2,10,101.478071,165.1421191,24.1018800171221,6.739961788,4,63.66404816,22.7,10.7,2,3.62448811217573,NA,16,148.3846555,31.869932,1.930317206,34.05794214,39,12,9.274040966,1.99187075,0.120644825,2.128621384,24.16,32.51,14.84,37,4.010396093
2532975,Russell Wilson,SEA,QB,29,5,6,229.74,290.4600562,23.4319934273158,19.69272627,3,60.72005623,59.6,4.7,1,3.06663850070336,NA,16,275.9555667,31.74742277,35.91333333,30.686121,40,5,17.24722292,1.984213923,2.244583333,1.917882562,44.885,9.475,-4.885,13,21.22735128
2506404,Frank Gore,IND,RB,34,12,11,114.9,158.9226667,16.7497829411816,3.260800004,10,44.02266673,68.6,27.4,5.2,4.81682039466877,NA,16,142.0781727,29.81610329,35.63333333,22.50049623,41,21,8.879885797,1.863506455,2.227083333,1.406281014,71.7567,8.49,-30.7567,11,12.91619752
2543463,Khalil Mack,OAK,DL,26,3,10,103.95,103.95,NA,9.569454719,2,0,NA,18.6,7.8,3.44043715744273,NA,16,103.95,29.23639241,33.5,24.75346526,42,2,6.496875,1.827274525,2.09375,1.547091579,NA,NA,NA,2,51.975
2543463,Khalil Mack,OAK,DL,26,3,10,103.95,103.95,NA,19.16409027,2,0,NA,18.6,7.8,3.44043715744273,NA,16,103.95,29.23639241,33.5,24.75346526,42,2,6.496875,1.827274525,2.09375,1.547091579,NA,NA,NA,1,103.95
2495700,Greg Olsen,CAR,TE,32,10,11,111.1856571,142.629406,12.311350596421,2.363232375,2,31.44374892,51.5,3.3,0.9,4.19339624807194,NA,16,130.7455045,28.9038205,30.12648079,26.64866941,43,2,8.171594029,1.806488781,1.882905049,1.665541838,35.145,14.43,7.855,16,8.171594029
2540258,Travis Kelce,KC,TE,28,4,10,122.18,138.8812392,6.62542939646201,4.375013151,2,16.70123924,39.7,2.1,0.5,3.63957634661889,NA,16,129.9097523,28.06806838,41.12082368,22.90050262,44,3,8.119359522,1.754254274,2.57005148,1.431281414,40.5,18.92,3.5,20,6.495487617
2495328,Bilal Powell,NYJ,RB,29,6,11,123.7867647,148.6250733,10.1770240110221,3.470944502,10,24.83830863,57.1,24.3,4.6,4.21359611154285,NA,16,139.7665413,27.50447183,44.52009804,12.20290284,45,22,8.735408831,1.719029489,2.782506127,0.762681427,45.4325,12.905,-0.432499999999997,16,8.735408831
2540165,DeAndre Hopkins,HOU,WR,25,4,7,123.0734375,152.4494337,14.2833792987876,2.99183386,5,29.37599618,30,14.5,2.6,2.95710429070151,NA,16,142.9947223,26.47999885,23.52568373,21.36525669,46,13,8.937170144,1.654999928,1.470355233,1.335328543,24.73,28.035,21.27,32,4.468585072
2557997,Christian McCaffrey,CAR,RB,21,0,11,52.1,170.5958983,40.4433937754333,3.919748697,10,118.4958983,41.4,18.6,4.9,3.73181945432582,NA,16,137.8682042,25.60613474,-27.16666667,34.17372776,47,23,8.616762762,1.600383421,-1.697916667,2.135857985,31.32,24.155,15.68,29,4.754076007
2540160,Jordan Reed,WAS,TE,27,4,5,111.2362934,134.84036,11.4629391890519,7.474910162,3,23.60406656,56.9,4.2,1.4,7.33848090779168,NA,16,126.8547918,25.01310786,30.17711712,18.85962339,48,4,7.928424489,1.563319242,1.88606982,1.178726462,35.665,17.915,12.335,20,6.342739591
71269,Michael Crabtree,OAK,WR,30,8,10,115.6182894,148.0151202,12.5890481243837,0.690539501,5,32.39683083,42.7,19.4,3.2,2.94931007123286,NA,16,140.294665,23.77994158,16.07053559,16.93094319,49,14,8.768416564,1.486246349,1.004408474,1.058183949,33.93,16.1,15.07,21,6.680698335
2543509,Allen Robinson,JAC,WR,24,3,8,123.1243858,150.7919084,11.5005351124299,0.569839664,5,27.6675226,42.7,19.3,4.6,4.02799934937796,NA,16,139.7111119,23.19638841,23.57663204,19.70773141,50,15,8.731944491,1.449774276,1.473539502,1.231733213,39.94,14.405,10.06,19,7.353216414
2543495,Davante Adams,GB,WR,25,3,8,122.2926297,149.6774258,10.4621646092162,1.645274371,5,27.38479617,42,19.5,4.6,3.8830506910016,NA,16,139.4971392,22.98241574,22.7448759,18.59324884,51,16,8.718571199,1.436400984,1.421554744,1.162078053,53.41,11.6,-2.41,16,8.718571199
2557976,Joe Mixon,CIN,RB,21,0,6,41.5,152.8347706,40.2793953891447,1.609496764,10,111.3347706,44.5,20.1,4.3,3.61715471030148,NA,16,134.7229894,22.46091991,-37.76666667,16.41260014,52,24,8.420186836,1.403807495,-2.360416667,1.025787509,33.32,18.65,18.68,23,5.857521277
497236,Jimmy Graham,SEA,TE,31,7,6,102.5642428,139.180968,19.1985243994958,12.36514762,3,36.61672518,62.9,4.8,1.1,5.70831296003418,NA,16,124.2146866,22.3730026,21.50506651,23.2002314,53,5,7.76341791,1.398312663,1.344066657,1.450014462,56.2967,9.06,-3.2967,11,11.29224423
2533039,Alshon Jeffery,PHI,WR,27,5,10,127.5445424,144.4794921,12.3334596366654,2.040638588,5,16.93494972,34.7,16.8,3.8,4.07914320083928,NA,16,138.7854052,22.27068175,27.99678864,13.39531513,54,17,8.674087825,1.39191761,1.74979929,0.837207196,28.8925,22.33,25.1075,27,5.140200193
2536340,Justin Tucker,BAL,K,28,5,10,144.2507258,164.5738,8.42278384294417,4.40049276,1,20.32307424,172,1.7,1.3,2.86370037701497,NA,16,158.0064495,22.18796539,17.1722303,20.28763391,55,1,9.875403096,1.386747837,1.073264394,1.267977119,104.9367,2.885,-49.9367,1,158.0064495
